"district","typ","hasc","nutscode","population","area","rb","capital"
"Aachen","d","DE.NW.AC","DEA2D","539,515",707,"KL","Aachen"
"Ahrweiler","l","DE.RP.AR","DEB12","125,885",787,"KB","Bad Neuenahr-Ahrweiler"
"Aichach-Friedberg","l","DE.BY.AF","DE275","126,387",783,"SC","Aichach"
"Alb-Donau-Kreis","l","DE.BW.AD","DE145","186,192","1,357","TU","Ulm"
"Altenburger Land","l","DE.TH.AL","DEG0M","96,737",569,"TH","Altenburg"
"Altenkirchen (Westerwald)","l","DE.RP.AT","DEB13","130,57",642,"KB","Altenkirchen (Westerwald)"
"Altmarkkreis Salzwedel","l","DE.ST.AS","DEE04","88,241","2,293","MA","Salzwedel"
"Altötting","l","DE.BY.AT","DE214","106,022",569,"OB","Altötting"
"Alzey-Worms","l","DE.RP.AW","DEB3B","125,113",588,"RP","Alzey"
"Amberg","s","DE.BY.AM","DE231","41,912",50,"OP","Amberg"
"Amberg-Sulzbach","l","DE.BY.AS","DE234","103,902","1,256","OP","Amberg"
"Ammerland","l","DE.NI.AM","DE946","117,912",728,"WE","Westerstede"
"Anhalt-Bitterfeld","l","DE.ST.AB","DEE05","172,127","1,453","DS","Köthen"
"Ansbach","l","DE.BY.AN","DE256","178,354","1,972","MF","Ansbach"
"Ansbach","s","DE.BY.AB","DE251","39,491",100,"MF","Ansbach"
"Aschaffenburg","l","DE.BY.AL","DE264","172,612",699,"UF","Aschaffenburg"
"Aschaffenburg","s","DE.BY.AC","DE261","67,359",62,"UF","Aschaffenburg"
"Augsburg","l","DE.BY.AG","DE276","237,095","1,071","SC","Augsburg"
"Augsburg","s","DE.BY.AU","DE271","267,767",147,"SC","Augsburg"
"Aurich","l","DE.NI.AR","DE947","187,135","1,287","WE","Aurich"
"Bad Dürkheim","l","DE.RP.BD","DEB3C","131,085",595,"RP","Bad Dürkheim"
"Baden-Baden","u","DE.BW.BB","DE121","52,315",140,"KR","Baden-Baden"
"Bad Kissingen","l","DE.BY.BK","DE265","104,02","1,137","UF","Bad Kissingen"
"Bad Kreuznach","l","DE.RP.BK","DEB14","155,599",864,"KB","Bad Kreuznach"
"Bad Tölz-Wolfratshausen","l","DE.BY.BW","DE216","119,178","1,111","OB","Bad Tölz"
"Bamberg","l","DE.BY.BM","DE245","143,61","1,167","OF","Bamberg"
"Bamberg","s","DE.BY.BB","DE241","70,635",55,"OF","Bamberg"
"Barnim","l","DE.BB.BR","DE405","172,165","1,494","BB","Eberswalde"
"Bautzen","l","DE.SN.BU","DED2C","315,174","2,391","DR","Bautzen"
"Bayreuth","l","DE.BY.BY","DE246","105,396","1,273","OF","Bayreuth"
"Bayreuth","s","DE.BY.BR","DE242","70,808",67,"OF","Bayreuth"
"Berchtesgadener Land","l","DE.BY.BL","DE215","100,829",840,"OB","Bad Reichenhall"
"Bergstraße","l","DE.HE.BR","DE715","260,741",720,"DA","Heppenheim"
"Berlin","b","DE.BE.BR","DE300","3,292,365",892,"BE","Berlin"
"Bernkastel-Wittlich","l","DE.RP.BW","DEB22","112,32","1,178","TR","Wittlich"
"Biberach","l","DE.BW.BR","DE146","187,444","1,41","TU","Biberach an der Riß"
"Bielefeld","s","DE.NW.BE","DEA41","326,87",258,"DM","Bielefeld"
"Birkenfeld","l","DE.RP.BR","DEB15","82,778",779,"KB","Birkenfeld"
"Böblingen","l","DE.BW.BL","DE112","363,949",618,"ST","Böblingen"
"Bochum","s","DE.NW.BC","DEA51","362,286",146,"AR","Bochum"
"Bodenseekreis","l","DE.BW.BD","DE147","204,083",665,"TU","Friedrichshafen"
"Bonn","s","DE.NW.BN","DEA22","305,765",141,"KL","Bonn"
"Börde","l","DE.ST.BR","DEE07","176,048","2,366","MA","Haldensleben"
"Borken","d","DE.NW.BR","DEA34","363,754","1,419","MU","Borken"
"Bottrop","s","DE.NW.BT","DEA31","117,311",101,"MU","Bottrop"
"Brandenburg an der Havel","s","DE.BB.BH","DE401","71,569",229,"BB","Brandenburg an der Havel"
"Braunschweig","s","DE.NI.BA","DE911","242,537",192,"BR","Braunschweig"
"Breisgau-Hochschwarzwald","l","DE.BW.BH","DE132","247,279","1,378","FR","Freiburg im Breisgau"
"Bremen","d","DE.HB.BR","DE501","542,707",325,"HB","Bremen"
"Bremerhaven","d","DE.HB.BH","DE502","108,156",94,"HB","Bremerhaven"
"Burgenlandkreis","l","DE.ST.BG","DEE08","189,729","1,413","HL","Naumburg (Saale)"
"Calw","l","DE.BW.CL","DE12A","151,049",798,"KR","Calw"
"Celle","l","DE.NI.CL","DE931","176,69","1,545","LU","Celle"
"Cham","l","DE.BY.CA","DE235","125,689","1,51","OP","Cham"
"Chemnitz","s","DE.SN.CE","DED41","240,253",221,"CH","Chemnitz"
"Cloppenburg","l","DE.NI.CO","DE948","159,337","1,418","WE","Cloppenburg"
"Coburg","l","DE.BY.CL","DE247","87,775",590,"OF","Coburg"
"Coburg","s","DE.BY.CS","DE243","41,023",48,"OF","Coburg"
"Cochem-Zell","l","DE.RP.CZ","DEB16","64,187",719,"KB","Cochem"
"Coesfeld","d","DE.NW.CE","DEA35","215,269","1,11","MU","Coesfeld"
"Cottbus","s","DE.BB.CT","DE402","99,984",164,"BB","Cottbus"
"Cuxhaven","l","DE.NI.CX","DE932","198,778","2,073","LU","Cuxhaven"
"Dachau","l","DE.BY.DC","DE217","138,697",579,"OB","Dachau"
"Dahme-Spreewald","l","DE.BB.DS","DE406","160,162","2,261","BB","Lübben (Spreewald)"
"Darmstadt","s","DE.HE.DR","DE711","143,499",122,"DA","Darmstadt"
"Darmstadt-Dieburg","l","DE.HE.DD","DE716","282,601",659,"DA","Darmstadt"
"Deggendorf","l","DE.BY.DG","DE224","114,454",861,"NI","Deggendorf"
"Delmenhorst","s","DE.NI.DL","DE941","73,322",62,"WE","Delmenhorst"
"Dessau-Roßlau","s","DE.ST.DR","DEE01","86,03",245,"DS","Dessau-Roßlau"
"Diepholz","l","DE.NI.DE","DE922","211,184","1,988","HN","Diepholz"
"Dillingen an der Donau","l","DE.BY.DD","DE277","93,308",792,"SC","Dillingen an der Donau"
"Dingolfing-Landau","l","DE.BY.DL","DE22C","90,156",878,"NI","Dingolfing"
"Dithmarschen","d","DE.SH.DT","DEF05","133,9","1,428","SH","Heide"
"Donau-Ries","l","DE.BY.DR","DE27D","127,92","1,275","SC","Donauwörth"
"Donnersbergkreis","l","DE.RP.DN","DEB3D","76,03",645,"RP","Kirchheimbolanden"
"Dortmund","s","DE.NW.DD","DEA52","571,143",281,"AR","Dortmund"
"Dresden","s","DE.SN.DE","DED21","512,354",328,"DR","Dresden"
"Duisburg","s","DE.NW.DI","DEA12","488,468",233,"DU","Duisburg"
"Düren","d","DE.NW.DR","DEA26","258,761",941,"KL","Düren"
"Düsseldorf","s","DE.NW.DS","DEA11","586,291",217,"DU","Düsseldorf"
"Ebersberg","l","DE.BY.EE","DE218","127,567",549,"OB","Ebersberg"
"Eichsfeld","l","DE.TH.EC","DEG06","102,257",940,"TH","Heilbad Heiligenstadt"
"Eichstätt","l","DE.BY.EC","DE219","123,42","1,214","OB","Eichstätt"
"Eifelkreis Bitburg-Prüm","l","DE.RP.EB","DEB23","95,774","1,626","TR","Bitburg"
"Eisenach","s","DE.TH.ES","DEG0N","41,753",104,"TH","Eisenach"
"Elbe-Elster","l","DE.BB.EE","DE407","110,188","1,889","BB","Herzberg (Elster)"
"Emden","s","DE.NI.ED","DE942","49,787",112,"WE","Emden"
"Emmendingen","l","DE.BW.EM","DE133","156,453",680,"FR","Emmendingen"
"Emsland","l","DE.NI.ES","DE949","311,089","2,881","WE","Meppen"
"Ennepe-Ruhr-Kreis","d","DE.NW.ER","DEA56","326,05",408,"AR","Schwelm"
"Enzkreis","l","DE.BW.EZ","DE12B","191,353",574,"KR","Pforzheim"
"Erding","l","DE.BY.ED","DE21A","125,706",871,"OB","Erding"
"Erfurt","s","DE.TH.EF","DEG01","200,868",269,"TH","Erfurt"
"Erlangen","s","DE.BY.EL","DE252","103,72",77,"MF","Erlangen"
"Erlangen-Höchstadt","l","DE.BY.EH","DE257","130,395",565,"MF","Erlangen"
"Erzgebirgskreis","l","DE.SN.EZ","DED42","361,791","1,828","CH","Annaberg-Buchholz"
"Essen","s","DE.NW.ES","DEA13","566,201",210,"DU","Essen"
"Esslingen","l","DE.BW.ES","DE113","502,893",642,"ST","Esslingen am Neckar"
"Euskirchen","d","DE.NW.EK","DEA28","187,939","1,249","KL","Euskirchen"
"Flensburg","s","DE.SH.FE","DEF01","82,258",57,"SH","Flensburg"
"Forchheim","l","DE.BY.FR","DE248","112,738",643,"OF","Forchheim"
"Frankenthal (Pfalz)","s","DE.RP.FA","DEB31","46,415",44,"RP","Frankenthal (Pfalz)"
"Frankfurt am Main","s","DE.HE.FM","DE712","667,925",248,"DA","Frankfurt am Main"
"Frankfurt (Oder)","s","DE.BB.FA","DE403","59,14",148,"BB","Frankfurt (Oder)"
"Freiburg im Breisgau","u","DE.BW.FB","DE131","209,629",153,"FR","Freiburg im Breisgau"
"Freising","l","DE.BY.FE","DE21B","162,818",802,"OB","Freising"
"Freudenstadt","l","DE.BW.FE","DE12C","115,973",871,"KR","Freudenstadt"
"Freyung-Grafenau","l","DE.BY.FG","DE225","78,17",984,"NI","Freyung"
"Friesland","l","DE.NI.FI","DE94A","98,229",608,"WE","Jever"
"Fulda","l","DE.HE.FL","DE732","216,179","1,38","KS","Fulda"
"Fürstenfeldbruck","l","DE.BY.FF","DE21C","201,597",435,"OB","Fürstenfeldbruck"
"Fürth","l","DE.BY.FL","DE258","112,786",308,"MF","Zirndorf"
"Fürth","s","DE.BY.FS","DE253","115,613",63,"MF","Fürth"
"Garmisch-Partenkirchen","l","DE.BY.GP","DE21D","84,046","1,012","OB","Garmisch-Partenkirchen"
"Gelsenkirchen","s","DE.NW.GL","DEA32","258,766",105,"MU","Gelsenkirchen"
